,f_score,tp,tn,fp,fn,name
35,0.843459054,4397,8970.6,1029.4,603,edit_emb10_lay12
2,0.750061876,4529.5,6832,3168,470.5,edit_emb10_lay16
24,0.858632389,4366.4,9195.4,804.6,633.6,edit_emb10_lay4
69,0.857927479,4460,9062.8,937.2,540,edit_emb10_lay8
67,0.848261468,4438.8,8971.4,1028.6,561.2,edit_emb15_lay12
53,0.516065075,4643.4,1646.8,8353.2,356.6,edit_emb15_lay16
7,0.864712012,4363.6,9270.8,729.2,636.4,edit_emb15_lay4
52,0.86729122,4419.8,9227.6,772.4,580.2,edit_emb15_lay8
37,0.853310565,4440.4,9028.8,971.2,559.6,edit_emb20_lay12
79,0.644308235,4609.6,4398.8,5601.2,390.4,edit_emb20_lay16
16,0.868427634,4413.6,9248.8,751.2,586.4,edit_emb20_lay4
58,0.870662008,4410.2,9279.4,720.6,589.8,edit_emb20_lay8
12,0.858345587,4394.8,9153.8,846.2,605.2,edit_emb25_lay12
22,0.5153157,4686.4,1497.8,8502.2,313.6,edit_emb25_lay16
19,0.866250372,4406.6,9232.6,767.4,593.4,edit_emb25_lay4
61,0.87181356,4451.6,9239,761,548.4,edit_emb25_lay8
45,0.820010253,4383.2,8690.6,1309.4,616.8,edit_emb5_lay12
71,0.792997861,4315.6,8426.4,1573.6,684.4,edit_emb5_lay16
6,0.828075847,4409,8760.333333,1239.666667,591,edit_emb5_lay4
44,0.816123625,4307,8751.333333,1248.666667,693,edit_emb5_lay8
41,0.839993086,4424.4,8887.8,1112.2,575.6,hard_emb10_lay12
76,0.701995955,4536.2,5748.2,4251.8,463.8,hard_emb10_lay16
21,0.861484422,4349,9252.4,747.6,651,hard_emb10_lay4
59,0.856696239,4366.8,9172.2,827.8,633.2,hard_emb10_lay8
9,0.862329564,4440.8,9140,860,559.2,hard_emb15_lay12
29,0.694681454,4515.2,5728.4,4271.6,484.8,hard_emb15_lay16
17,0.860471973,4356,9231.2,768.8,644,hard_emb15_lay4
57,0.866189406,4412,9224.8,775.2,588,hard_emb15_lay8
32,0.856115037,4462.6,9034.6,965.4,537.4,hard_emb20_lay12
3,0.644641362,4624.6,4339,5661,375.4,hard_emb20_lay16
13,0.868919365,4363.2,9320.4,679.6,636.8,hard_emb20_lay4
49,0.866471048,4429.2,9205.6,794.4,570.8,hard_emb20_lay8
68,0.871019941,4445,9237.8,762.2,555,hard_emb25_lay12
48,0.57804555,4612,2964,7036,388,hard_emb25_lay16
28,0.868375795,4385.6,9284.4,715.6,614.4,hard_emb25_lay4
64,0.86566034,4396.2,9239.4,760.6,603.8,hard_emb25_lay8
39,0.81894009,4379,8684.4,1315.6,621,hard_emb5_lay12
80,0.788890582,4265.6,8446.4,1553.6,734.4,hard_emb5_lay16
51,0.823295246,4361.4,8766.2,1233.8,638.6,hard_emb5_lay4
10,0.818928463,4363.4,8707,1293,636.6,hard_emb5_lay8
74,0.837676348,4402.4,8889.6,1110.4,597.6,nick_emb10_lay12
40,0.648243871,4366.2,5226.8,4773.2,633.8,nick_emb10_lay16
18,0.86203063,4404.8,9185.2,814.8,595.2,nick_emb10_lay4
56,0.857444439,4414.2,9118.2,881.8,585.8,nick_emb10_lay8
25,0.867315049,4440.2,9201.6,798.4,559.8,nick_emb15_lay12
8,0.576228809,4645,2880.2,7119.8,355,nick_emb15_lay16
20,0.862221221,4353.4,9255.8,744.2,646.6,nick_emb15_lay4
60,0.86637365,4402.6,9239.4,760.6,597.4,nick_emb15_lay8
4,0.854930138,4443.2,9046.2,953.8,556.8,nick_emb20_lay12
34,0.705407004,4501.8,5906.6,4093.4,498.2,nick_emb20_lay16
26,0.872100588,4404.2,9304.4,695.6,595.8,nick_emb20_lay4
65,0.868273278,4427.2,9228.2,771.8,572.8,nick_emb20_lay8
50,0.857201313,4431,9086.4,913.6,569,nick_emb25_lay12
70,0.515629963,4716.8,1421.4,8578.6,283.2,nick_emb25_lay16
14,0.866127256,4376,9271.4,728.6,624,nick_emb25_lay4
47,0.869933121,4417,9262.2,737.8,583,nick_emb25_lay8
75,0.82271163,4374,8739.6,1260.4,626,nick_emb5_lay12
43,0.793887804,4240,8558.6,1441.4,760,nick_emb5_lay16
27,0.820829677,4348.6,8752.4,1247.6,651.4,nick_emb5_lay4
63,0.815056757,4355,8668.4,1331.6,645,nick_emb5_lay8
23,0.934260538,4711.4,4625.6,374.4,288.6,random_emb10_lay12
11,0.891637178,4765.6,3911.6,1088.4,234.4,random_emb10_lay16
0,0.96908376,4799.75,4894,106,200.25,random_emb10_lay4
42,0.96358149,4788.4,4849.6,150.4,211.6,random_emb10_lay8
78,0.946909139,4757,4708.8,291.2,243,random_emb15_lay12
38,0.676357741,4843.2,521.8,4478.2,156.8,random_emb15_lay16
33,0.974649707,4813.4,4936.2,63.8,186.6,random_emb15_lay4
77,0.964011577,4781.8,4861,139,218.2,random_emb15_lay8
54,0.960368058,4773.4,4832.4,167.6,226.6,random_emb20_lay12
66,0.842160929,4686.8,3289.6,1710.4,313.2,random_emb20_lay16
30,0.975415445,4816.6,4940.6,59.4,183.4,random_emb20_lay4
72,0.966757521,4794.8,4875.4,124.6,205.2,random_emb20_lay8
1,0.948458851,4754.8,4726.8,273.2,245.2,random_emb25_lay12
36,0.676037763,4844.2,513,4487,155.8,random_emb25_lay16
5,0.97707069,4836.8,4936.2,63.8,163.2,random_emb25_lay4
46,0.962056892,4761.8,4862.6,137.4,238.2,random_emb25_lay8
62,0.924118915,4721.4,4502.6,497.4,278.6,random_emb5_lay12
55,0.827163482,4774.8,2934.6,2065.4,225.2,random_emb5_lay16
73,0.953283343,4763.2,4769.8,230.2,236.8,random_emb5_lay4
31,0.934890365,4735.4,4605,395,264.6,random_emb5_lay8
